ID,SpinCrossoverEnergy,HomoLumoGap,IsSpinCrossover,TransitionMetal
ABILUT,-1.2004,3.3529,False,Cr
ALETAN,-1.4628,1.8257,False,Cr
ALUVIN,1.9084,1.6213,False,Cr
BAVGIO,1.9697,2.0845,False,Cr
BAVGOU,-0.5720,2.7672,False,Cr
BAVGUA10,-1.1605,3.6772,False,Cr
BAWGEL,1.1406,1.6853,False,Cr
BILDIJ,-1.1303,3.1895,False,Cr
BUTDAV,-1.2272,3.7317,False,Cr
CACVIL,2.3027,2.4767,False,Cr
CAGCIW,-1.3211,1.4091,False,Cr
CAHGIE,-0.7643,0.6150,False,Cr
CAMVER,0.5058,1.9300,False,Cr
CAMVER10,0.5058,1.9300,False,Cr
CAMVOB,3.0175,2.5666,False,Cr
CAMVOB10,2.9870,2.5702,False,Cr
CATYOL,0.2780,3.2612,True,Cr
CEWJUJ,3.9055,3.8455,False,Cr
CEXXAE,2.4522,3.4364,False,Cr
CIHJEJ,-0.9353,2.6923,False,Cr
COLPIC,3.1995,3.5457,False,Cr
CREXAN,-1.1525,2.9766,False,Cr
CUSBUN,-1.1841,3.2128,False,Cr
DAGMAA,-0.9068,2.1172,False,Cr
DEXCUE,2.3009,2.4749,False,Cr
DOBYOK,-0.9984,0.5871,False,Cr
DOFJAK,0.7586,1.2187,False,Cr
DOFVEZ,1.2917,1.5836,False,Cr
DTOLCR,0.0188,0.7585,True,Cr
DUTMIO10,-1.1534,2.4221,False,Cr
DUZNIV,2.5245,3.4544,False,Cr
EGUNOK,-0.4432,1.0122,False,Cr
EMEYIE,2.7541,3.1846,False,Cr
EQIVOP,-1.5794,2.5436,False,Cr
EYETUY,1.8246,3.0446,False,Cr
EYETUY01,-1.1677,2.9297,False,Cr
FANJEJ,3.4244,2.8009,False,Cr
FLPHCR,2.7539,2.8631,False,Cr
FOKYEJ,3.8672,3.4487,False,Cr
FOXYAS,4.0752,2.9885,False,Cr
FUGQAC,0.5539,1.5256,False,Cr
GAGVOA,0.8386,1.4245,False,Cr
GOTROY,-1.1725,3.0259,False,Cr
HEWYIT,-0.8958,2.6184,False,Cr
HIQYAJ,-1.1646,3.0833,False,Cr
HIZNEJ,0.0047,1.4374,True,Cr
HOHBUB,-0.6892,1.4409,False,Cr
HUKSUB,1.1511,2.0755,False,Cr
IFEZAV,-1.1127,3.0068,False,Cr
IFOCIP,-1.1866,2.9728,False,Cr
IJEWEA,-1.4769,1.7788,False,Cr
ILUMEH,-1.1684,3.3766,False,Cr
IZOVAV,1.8059,2.3531,False,Cr
IZOVEZ,2.2286,3.4754,False,Cr
JAJFIJ,2.4499,3.3851,False,Cr
JAJYUO,3.4338,1.9904,False,Cr
JOZCIK,-1.0745,0.8080,False,Cr
KAWKEA,-0.0047,0.9341,True,Cr
KIVDIE,2.4276,1.7251,False,Cr
